adju_geo_region,adju_geo_city,adju_geo_region_name,geo_dma_bespoke
AL,PINDOBA,ALAGOAS,MACEIO
AL,SAO_JOSE_DA_LAJE,ALAGOAS,MACEIO
BA,CANDEAL,BAHIA,UNCLASSIFIED
BA,CARAIPE,BAHIA,UNCLASSIFIED
BA,MACARANI,BAHIA,UNCLASSIFIED
BA,PARIPIRANGA,BAHIA,SALVADOR
BA,PIRITIBA,BAHIA,SALVADOR
CE,JARDIM,CEARA,UNCLASSIFIED
CE,LISIEUX,CEARA,UNCLASSIFIED
GO,PONTALINA,GOIAS,UNCLASSIFIED
MA,SAO_DOMINGOS_DO_MARANHAO,MARANHAO,UNCLASSIFIED
MG,ALVARENGA,MINAS_GERAIS,UNCLASSIFIED
MG,IPANEMA,MINAS_GERAIS,UNCLASSIFIED
MG,ITAPIRU,MINAS_GERAIS,UNCLASSIFIED
MG,LAMIM,MINAS_GERAIS,BELO_HORIZONTE
MG,MAJOR_PORTO,MINAS_GERAIS,UNCLASSIFIED
MG,MESQUITA,MINAS_GERAIS,UNCLASSIFIED
MG,MONTES_CLAROS,MINAS_GERAIS,UNCLASSIFIED
MG,PENHA_DO_CAPIM,MINAS_GERAIS,UNCLASSIFIED
MG,PIEDADE_DOS_GERAIS,MINAS_GERAIS,BELO_HORIZONTE
MG,SENHORA_DO_CARMO,MINAS_GERAIS,UNCLASSIFIED
MG,VARGINHA,MINAS_GERAIS,UNCLASSIFIED
PA,MUANA,PARA,BELEM
PB,LAGOA,PARAIBA,UNCLASSIFIED
PB,SAO_JOSE_DE_PIRANHAS,PARAIBA,UNCLASSIFIED
PE,MODERNA,PERNAMBUCO,UNCLASSIFIED
PE,PALMEIRINA,PERNAMBUCO,UNCLASSIFIED
PE,TAMANDARE,PERNAMBUCO,RECIFE
PI,CANTO_DO_BURITI,PIAUI,TERESINA
PI,LAGOA_DE_SAO_FRANCISCO,PIAUI,TERESINA
PI,SANTO_INACIO_DO_PIAUI,PIAUI,UNCLASSIFIED
PI,SAO_FELIX_DO_PIAUI,PIAUI,TERESINA
PR,AGUA_BRANCA,PARANA,UNCLASSIFIED
PR,CARLOPOLIS,PARANA,UNCLASSIFIED
PR,CONGONHAS,PARANA,UNCLASSIFIED
PR,CURITIBA,PARANA,CURITBA
PR,ESPIRITO_SANTO,PARANA,UNCLASSIFIED
PR,FAZENDA_RIO_GRANDE,PARANA,CURITBA
PR,PARANACITY,PARANA,UNCLASSIFIED
RJ,SAO_JOAQUIM,RIO_DE_JANEIRO,UNCLASSIFIED
RS,ANTA_GORDA,RIO_GRANDE_DO_SUL,UNCLASSIFIED
RS,BARROS_CASSAL,RIO_GRANDE_DO_SUL,UNCLASSIFIED
RS,BOM_PRINCIPIO,RIO_GRANDE_DO_SUL,PORTO_ALEGRE
RS,ROCA_SALES,RIO_GRANDE_DO_SUL,UNCLASSIFIED
RS,SERTAO,RIO_GRANDE_DO_SUL,UNCLASSIFIED
RS,VESPASIANO_CORREA,RIO_GRANDE_DO_SUL,UNCLASSIFIED
SC,GRAVATAL,SANTA_CATARINA,UNCLASSIFIED
SC,ITUPORANGA,SANTA_CATARINA,UNCLASSIFIED
SC,MONTE_CARLO,SANTA_CATARINA,UNCLASSIFIED
SC,PINHEIRO_PRETO,SANTA_CATARINA,UNCLASSIFIED
SP,AGUAI,SAO_PAULO,UNCLASSIFIED
SP,ASSIS,SAO_PAULO,UNCLASSIFIED
SP,BATATAIS,SAO_PAULO,UNCLASSIFIED
SP,ESPIRITO_SANTO_DO_TURVO,SAO_PAULO,UNCLASSIFIED
SP,IARAS,SAO_PAULO,UNCLASSIFIED
SP,LARANJAL_PAULISTA,SAO_PAULO,UNCLASSIFIED
SP,ORLANDIA,SAO_PAULO,UNCLASSIFIED
SP,PALESTINA,SAO_PAULO,UNCLASSIFIED
SP,SANTA_MARIA_DA_SERRA,SAO_PAULO,UNCLASSIFIED
SP,SAO_SEBASTIAO_DA_GRAMA,SAO_PAULO,UNCLASSIFIED
TO,FIGUEIROPOLIS,TOCANTINS,UNCLASSIFIED
TO,PUGMIL,TOCANTINS,PALMAS
AL,LAGOA_DA_CANOA,ALAGOAS,MACEIO
AP,FORTALEZA,AMAPA,UNCLASSIFIED
BA,BELO_CAMPO,BAHIA,UNCLASSIFIED
BA,CONTENDAS_DO_SINCORA,BAHIA,UNCLASSIFIED
BA,SAO_FELIX_DO_CORIBE,BAHIA,UNCLASSIFIED
BA,SIMOES_FILHO,BAHIA,SALVADOR
CE,DOM_QUINTINO,CEARA,UNCLASSIFIED
CE,JUBAIA,CEARA,UNCLASSIFIED
CE,SAO_JOAO,CEARA,UNCLASSIFIED
CE,SAO_JOSE,CEARA,UNCLASSIFIED
GO,CALDAS_NOVAS,GOIAS,UNCLASSIFIED
GO,FLORES_DE_GOIAS,GOIAS,UNCLASSIFIED
GO,SAO_PATRICIO,GOIAS,UNCLASSIFIED
GO,SERRANOPOLIS,GOIAS,UNCLASSIFIED
MA,BACABAL,MARANHAO,UNCLASSIFIED
MA,MATOES,MARANHAO,UNCLASSIFIED
MA,TUNTUM,MARANHAO,UNCLASSIFIED
MG,BORBA_GATO,MINAS_GERAIS,UNCLASSIFIED
MG,BUENO,MINAS_GERAIS,UNCLASSIFIED
MG,CANA_VERDE,MINAS_GERAIS,UNCLASSIFIED
MG,DORES_DO_INDAIA,MINAS_GERAIS,UNCLASSIFIED
MG,FRUTA_DE_LEITE,MINAS_GERAIS,UNCLASSIFIED
MG,LIBERDADE,MINAS_GERAIS,UNCLASSIFIED
MG,MACHACALIS,MINAS_GERAIS,UNCLASSIFIED
MG,PONTE_NOVA,MINAS_GERAIS,BELO_HORIZONTE
MG,RAUL_SOARES,MINAS_GERAIS,BELO_HORIZONTE
MS,IVINHEMA,MATO_GROSSO_DO_SUL,UNCLASSIFIED
MT,JANGADA,MATO_GROSSO,CUIABA
PA,AFUA,PARA,BELEM
PB,APARECIDA,PARAIBA,UNCLASSIFIED
PB,JACARAU,PARAIBA,JOAO_PESSOA
PB,LOGRADOURO,PARAIBA,UNCLASSIFIED
PB,NOVA_PALMEIRA,PARAIBA,UNCLASSIFIED
PB,SANTA_TERESINHA,PARAIBA,UNCLASSIFIED
PB,SANTANA_DE_MANGUEIRA,PARAIBA,UNCLASSIFIED
PB,VILA_FLOR,PARAIBA,UNCLASSIFIED
PE,SAIRE,PERNAMBUCO,UNCLASSIFIED
PI,ANGICAL_DO_PIAUI,PIAUI,TERESINA
PI,GUARIBAS,PIAUI,UNCLASSIFIED
PI,JOCA_MARQUES,PIAUI,UNCLASSIFIED
PI,PARNAIBA,PIAUI,TERESINA
PR,CURIUVA,PARANA,UNCLASSIFIED
PR,GODOY_MOREIRA,PARANA,UNCLASSIFIED
PR,NOVA_AMERICA_DA_COLINA,PARANA,UNCLASSIFIED
PR,PEABIRU,PARANA,UNCLASSIFIED
PR,QUINZOPOLIS,PARANA,UNCLASSIFIED
PR,TIBAGI,PARANA,UNCLASSIFIED
PR,TRES_BICOS,PARANA,UNCLASSIFIED
RJ,JAPUIBA,RIO_DE_JANEIRO,UNCLASSIFIED
RJ,PORTELA,RIO_DE_JANEIRO,UNCLASSIFIED
RJ,SAQUAREMA,RIO_DE_JANEIRO,UNCLASSIFIED
RJ,SUBAIO,RIO_DE_JANEIRO,UNCLASSIFIED
RN,FRUTUOSO_GOMES,RIO_GRANDE_DO_NORTE,UNCLASSIFIED
RN,JACANA,RIO_GRANDE_DO_NORTE,UNCLASSIFIED
RN,JOAO_CAMARA,RIO_GRANDE_DO_NORTE,UNCLASSIFIED
RN,TRAIRI,RIO_GRANDE_DO_NORTE,UNCLASSIFIED
RO,SERINGUEIRAS,RONDONIA,PORTO_VELHO
