adju_geo_region_name,geo_dma_bespoke,adju_geo_city
MALAGA,ANDALUCIA,ARROYO_DE_LA_MIEL
ALICANTE,VALENCIA,LA_ROMANA
BARCELONA,CATALUNA_,BIGUES
BADAJOZ,EXTREMADURA,NOGALES
LA_CORUNA,GALICIA,IGLESIA
LA_CORUNA,GALICIA,MONFERO
CACERES,EXTREMADURA,ALCUESCAR
CASTELLON,VALENCIA,ALFONDEGUILLA
HUESCA,ARAGON,LASPAULES
NAVARRA,NAVARRA,TAFALLA
ORENSE,GALICIA,CASDENODRES
PONTEVEDRA,GALICIA,CAMPOSANCOS
CANTABRIA,CANTABRIA,SOMO
SEVILLA,ANDALUCIA,ALGAMITAS
SEVILLA,ANDALUCIA,ESPARTINAS
SEGOVIA,CASTILLA_Y_LEON,TOLOCIRIO
TERUEL,ARAGON,CELLA
TERUEL,ARAGON,LA_CEROLLERA
TERUEL,ARAGON,TORRE_DE_ARCAS
TERUEL,ARAGON,VIVEL_DEL_RIO
ALAVA,PAIS_VASCO,ARMINON
ALAVA,PAIS_VASCO,MORILLAS
ZAMORA,CASTILLA_Y_LEON,CASASECA_DE_CAMPEAN
LA_CORUNA,GALICIA,FRIXE
HUELVA,ANDALUCIA,LA_ANTILLA
LEON,CASTILLA_Y_LEON,SOTICO
AVILA,CASTILLA_Y_LEON,EL_MIRON
BARCELONA,CATALUNA_,AVINYO
BARCELONA,CATALUNA_,MONTGAT
BARCELONA,CATALUNA_,SANT_MATEU_DE_BAGES
BURGOS,CASTILLA_Y_LEON,QUINTANADUENAS
BURGOS,CASTILLA_Y_LEON,TARDAJOS
LA_CORUNA,GALICIA,COVAS
CORDOBA,ANDALUCIA,PICONCILLO
GRANADA,ANDALUCIA,COLOMERA
HUESCA,ARAGON,ESPLUGA
JAEN,ANDALUCIA,LAHIGUERA
LERIDA,CATALUNA_,ALINYA
LERIDA,CATALUNA_,PRULLANS
LEON,CASTILLA_Y_LEON,MONTRONDO
MURCIA,MURCIA,BANOS
MURCIA,MURCIA,TOTANA
ASTURIAS,ASTURIAS,CARRIO
ASTURIAS,ASTURIAS,SALVADOR
CANTABRIA,CANTABRIA,RUILOBA
SALAMANCA,CASTILLA_Y_LEON,BEJAR
SALAMANCA,CASTILLA_Y_LEON,LA_CABEZA_DE_BEJAR
SEVILLA,ANDALUCIA,CAMAS
VALENCIA,VALENCIA,CASINOS
VALLADOLID,CASTILLA_Y_LEON,TORDESILLAS
ALAVA,PAIS_VASCO,OYON
ZARAGOZA,ARAGON,MUEL
ZAMORA,CASTILLA_Y_LEON,CARRASCAL
CACERES,EXTREMADURA,CARCABOSO
GIRONA,CATALUNA_,GUILS_DE_CERDANYA
LEON,CASTILLA_Y_LEON,OLLEROS_DE_SABERO
NAVARRA,NAVARRA,HUARTE
BARCELONA,CATALUNA_,VILANOVA_DEL_CAMI
LA_CORUNA,GALICIA,VIGO
CADIZ,ANDALUCIA,TREBUJENA
CIUDAD_REAL,CASTILLA_LA_MANCHA,PUERTOLLANO
GUADALAJARA,CASTILLA_LA_MANCHA,FUENTELAHIGUERA_DE_ALBATAGES
JAEN,ANDALUCIA,ANDUJAR
MADRID,MADRID,ALDEA_DEL_FRESNO
MADRID,MADRID,COLMENAR_DEL_ARROYO
MURCIA,MURCIA,EL_PUNTAL
MURCIA,MURCIA,MURCIA
PONTEVEDRA,GALICIA,A_ESTRADA
PONTEVEDRA,GALICIA,CRECIENTE
CANTABRIA,CANTABRIA,DUNA
CANTABRIA,CANTABRIA,LLERANA
SALAMANCA,CASTILLA_Y_LEON,TAMAMES
SEVILLA,ANDALUCIA,CASARICHE
TERUEL,ARAGON,CANADA_DE_BENATANDUZ
TOLEDO,CASTILLA_LA_MANCHA,HERRERUELA_DE_OROPESA
TOLEDO,CASTILLA_LA_MANCHA,SONSECA
VALENCIA,VALENCIA,ALFARP
ZARAGOZA,ARAGON,ALCALA_DE_EBRO
ZAMORA,CASTILLA_Y_LEON,ALGODRE
ALMERIA,ANDALUCIA,SORBAS
CACERES,EXTREMADURA,MATA_DE_ALCANTARA
CORDOBA,ANDALUCIA,CAMPINA
CORDOBA,ANDALUCIA,MONTURQUE
GIRONA,CATALUNA_,VENTALLO
HUESCA,ARAGON,FRAELLA
LERIDA,CATALUNA_,GUISSONA
LERIDA,CATALUNA_,OLIANA
LERIDA,CATALUNA_,VILALLER
LUGO,GALICIA,CASTRO
LUGO,GALICIA,DONCOS
NAVARRA,NAVARRA,ANEZCAR
ASTURIAS,ASTURIAS,LLEDIAS
PONTEVEDRA,GALICIA,CAMBADOS
CANTABRIA,CANTABRIA,EL_LLANO
SANTA_CRUZ_DE_TENERIFE,CANARIAS,EL_PRIS
TOLEDO,CASTILLA_LA_MANCHA,GERINDOTE
ALAVA,PAIS_VASCO,OLAETA
BURGOS,CASTILLA_Y_LEON,BEZANA
LA_CORUNA,GALICIA,LAMA
LEON,CASTILLA_Y_LEON,CABOALLES_DE_ARRIBA
LUGO,GALICIA,VILASELAN
MURCIA,MURCIA,ARCHENA
ORENSE,GALICIA,A_CARREIRA
BARCELONA,CATALUNA_,SANT_QUIRZE_SAFAJA
VIZCAYA,PAIS_VASCO,ABADINO
LA_CORUNA,GALICIA,AGUASANTAS
LA_CORUNA,GALICIA,COSTA
CACERES,EXTREMADURA,ALDEANUEVA_DE_LA_VERA
HUELVA,ANDALUCIA,CANAVERAL_DE_LEON
HUESCA,ARAGON,LIERTA
JAEN,ANDALUCIA,TORRES
LERIDA,CATALUNA_,BALESTUI
LUGO,GALICIA,CABANAS
NAVARRA,NAVARRA,BERBINZANA
ASTURIAS,ASTURIAS,CAMANGO
PONTEVEDRA,GALICIA,DORNELAS
CANTABRIA,CANTABRIA,BARROS
SEGOVIA,CASTILLA_Y_LEON,ALDEALCORVO
SANTA_CRUZ_DE_TENERIFE,CANARIAS,FRONTERA
VALENCIA,VALENCIA,ARAS_DE_LOS_OLMOS
VALLADOLID,CASTILLA_Y_LEON,ATAQUINES
ZARAGOZA,ARAGON,PARACUELLOS_DE_JILOCA
GRANADA,ANDALUCIA,BENALUA_DE_LAS_VILLAS
GUADALAJARA,CASTILLA_LA_MANCHA,GALAPAGOS
HUESCA,ARAGON,CANFRANC
ALICANTE,VALENCIA,BENIMAURELL
ALICANTE,VALENCIA,LOS_MONTESINOS
ALICANTE,VALENCIA,MUCHAMIEL
ALBACETE,CASTILLA_LA_MANCHA,CAUDETE
AVILA,CASTILLA_Y_LEON,PIEDRAHITA
BARCELONA,CATALUNA_,CALDES_DE_MONTBUI
BARCELONA,CATALUNA_,VILANOVA_I_LA_GELTRU
LA_CORUNA,GALICIA,VILARMAIOR
LA_CORUNA,GALICIA,VINAS
CADIZ,ANDALUCIA,MEDINA_SIDONIA
CACERES,EXTREMADURA,PANTANO_DE_CIJARA
LAS_PALMAS,CANARIAS,ARUCAS
GIRONA,CATALUNA_,LLAGOSTERA
GRANADA,ANDALUCIA,ZUJAR
MALAGA,ANDALUCIA,CORTES
ASTURIAS,ASTURIAS,ILLAS
PALENCIA,CASTILLA_Y_LEON,SANTERVAS_DE_LA_VEGA
CANTABRIA,CANTABRIA,LIANO
SEGOVIA,CASTILLA_Y_LEON,BOCEGUILLAS
ZARAGOZA,ARAGON,MONREAL_DE_ARIZA
LAS_PALMAS,CANARIAS,BUENLUGAR
MURCIA,MURCIA,CABEZO_DE_PLATA
NAVARRA,NAVARRA,ZUDAIRE
AVILA,CASTILLA_Y_LEON,RETUERTA
BARCELONA,CATALUNA_,SANT_PERE_MOLANTA
BADAJOZ,EXTREMADURA,LA_PARRA
BADAJOZ,EXTREMADURA,VALDECABALLEROS
LA_CORUNA,GALICIA,OLEIROS
LA_CORUNA,GALICIA,PORRINO
LA_CORUNA,GALICIA,PORTO
CORDOBA,ANDALUCIA,MADRONIZ
JAEN,ANDALUCIA,BOBADILLA_DE_ALCAUDETE
JAEN,ANDALUCIA,IBROS
LERIDA,CATALUNA_,EL_PONT_DE_SUERT
LEON,CASTILLA_Y_LEON,LANGRE
ASTURIAS,ASTURIAS,PROAZA
ORENSE,GALICIA,CELANOVA
PALENCIA,CASTILLA_Y_LEON,ARROYO
PONTEVEDRA,GALICIA,LEIRO
CANTABRIA,CANTABRIA,SOLARES
SALAMANCA,CASTILLA_Y_LEON,MACOTERA
SEGOVIA,CASTILLA_Y_LEON,PARQUE_DE_ROBLEDO
TARRAGONA,CATALUNA_,BONASTRE
SANTA_CRUZ_DE_TENERIFE,CANARIAS,SAN_ISIDRO_DE_ABONA
TOLEDO,CASTILLA_LA_MANCHA,LUCILLOS
LAS_PALMAS,CANARIAS,TESEJERAGUE
LAS_PALMAS,CANARIAS,TIAS
ALMERIA,ANDALUCIA,ARMUNA_DE_ALMANZORA
BARCELONA,CATALUNA_,MOLINS_DE_REI
BADAJOZ,EXTREMADURA,GARGALIGAS
VIZCAYA,PAIS_VASCO,BARROETA
LA_CORUNA,GALICIA,HERBON
CASTELLON,VALENCIA,GELDO
GIRONA,CATALUNA_,PUIGCERDA
GIRONA,CATALUNA_,VULLPELLAC
GUADALAJARA,CASTILLA_LA_MANCHA,CABANILLAS_DEL_CAMPO
LERIDA,CATALUNA_,ESTERRI_DANEU
LUGO,GALICIA,AZUMARA
LUGO,GALICIA,MONTERROSO
ASTURIAS,ASTURIAS,PADERNE
ASTURIAS,ASTURIAS,VILLA
PALENCIA,CASTILLA_Y_LEON,PRADANOS_DE_OJEDA
CANTABRIA,CANTABRIA,COSIO
SORIA,CASTILLA_Y_LEON,ALENTISQUE
SORIA,CASTILLA_Y_LEON,EL_ROYO
GUIPUZCOA,PAIS_VASCO,OLABERRIA
TARRAGONA,CATALUNA_,SANTA_OLIVA
SANTA_CRUZ_DE_TENERIFE,CANARIAS,ARAFO
SANTA_CRUZ_DE_TENERIFE,CANARIAS,PAJARA
TOLEDO,CASTILLA_LA_MANCHA,MENASALBAS
TOLEDO,CASTILLA_LA_MANCHA,QUISMONDO
VALENCIA,VALENCIA,CATARROJA
VALENCIA,VALENCIA,ESTACION_DE_LOS_VALLES
ZARAGOZA,ARAGON,COSUENDA
ZARAGOZA,ARAGON,NUCLEO_URBANIZACION_EL_ZORONGO
ZAMORA,CASTILLA_Y_LEON,CASTROVERDE_DE_CAMPOS
ZAMORA,CASTILLA_Y_LEON,REVELLINOS
ZAMORA,CASTILLA_Y_LEON,SAN_CEBRIAN_DE_CASTRO
