"adju_geo_region_name","adju_geo_city","geo_dma_bespoke"
"FIFE","DAIRSIE","STV_NORTH"
"PERTH_AND_KINROSS","BUTTERSTONE","STV_NORTH"
"SHETLAND_ISLANDS","CUNNINGSBURGH","STV_NORTH"
"ARGYLL_AND_BUTE","BRIDGEND","STV_SOUTH"
"DERRY_CITY_AND_STRABANE","SION_MILLS","UTV"
"NORTHUMBERLAND","STEEL","ITV_TYNE_TEES"
"DERBYSHIRE","HORSLEY_WOODHOUSE","ITV_YORKSHIRE"
"EAST_RIDING_OF_YORKSHIRE","CRANSWICK","ITV_YORKSHIRE"
"LINCOLNSHIRE","HELPRINGHAM","ITV_YORKSHIRE"
"LINCOLNSHIRE","OLD_SOMERBY","ITV_YORKSHIRE"
"NOTTINGHAMSHIRE","NEW_BALDERTON","ITV_YORKSHIRE"
"NORTH_YORKSHIRE","EBBERSTON","ITV_YORKSHIRE"
"CHESHIRE_WEST_AND_CHESTER","WAVERTON","ITV_GRANADA"
"LANCASHIRE","STALMINE","ITV_GRANADA"
"ISLE_OF_ANGLESEY","MAENADDWYN","ITV_WALES"
"CARMARTHENSHIRE","BRECHFA","ITV_WALES"
"CARMARTHENSHIRE","FFAIRFACH","ITV_WALES"
"CARDIFF","ELY","ITV_WALES"
"CONWY","MAERDY","ITV_WALES"
"FLINTSHIRE","CYMAU","ITV_WALES"
"POWYS","CILMERY","ITV_WALES"
"BUCKINGHAMSHIRE","UPTON","ITV_CENTRAL"
"NORTHAMPTONSHIRE","COLLYWESTON","ITV_CENTRAL"
"WORCESTERSHIRE","HOLLYWOOD","ITV_CENTRAL"
"WORCESTERSHIRE","WALL_MEADOW","ITV_CENTRAL"
"BEDFORDSHIRE","WOOTTON","ITV_ANGLIA"
"CAMBRIDGESHIRE","BENWICK","ITV_ANGLIA"
"ESSEX","BELCHAMP_WALTER","ITV_ANGLIA"
"ESSEX","CANVEY_ISLAND","ITV_ANGLIA"
"ESSEX","LITTLE_WIGBOROUGH","ITV_ANGLIA"
"MILTON_KEYNES","BOW_BRICKHILL","ITV_ANGLIA"
"NORFOLK","POTT_ROW","ITV_ANGLIA"
"NORFOLK","SEA_PALLING","ITV_ANGLIA"
"NORFOLK","SHARRINGTON","ITV_ANGLIA"
"NORFOLK","SPOONER_ROW","ITV_ANGLIA"
"NORTHAMPTONSHIRE","HANDLEY_PARK","ITV_ANGLIA"
"NORTHAMPTONSHIRE","ISLIP","ITV_ANGLIA"
"SUFFOLK","LITTLE_STONHAM","ITV_ANGLIA"
"SUFFOLK","TROSTON","ITV_ANGLIA"
"HERTFORDSHIRE","ELSTREE","ITV_LONDON"
"SURREY","COBHAM","ITV_LONDON"
"DORSET","LOWER_WATERDITCH","ITV_MERIDIAN"
"EAST_SUSSEX","BODLE_STREET_GREEN","ITV_MERIDIAN"
"EAST_SUSSEX","GOLDEN_CROSS","ITV_MERIDIAN"
"EAST_SUSSEX","SEAFORD","ITV_MERIDIAN"
"EAST_SUSSEX","ST_LEONARDS_ON_SEA","ITV_MERIDIAN"
"ISLE_OF_WIGHT","BOULDNOR","ITV_MERIDIAN"
"KENT","EGERTON","ITV_MERIDIAN"
"KENT","FOLKESTONE","ITV_MERIDIAN"
"OXFORDSHIRE","BLETCHINGDON","ITV_MERIDIAN"
"OXFORDSHIRE","BODICOTE","ITV_MERIDIAN"
"OXFORDSHIRE","CHOLSEY","ITV_MERIDIAN"
"POOLE","POOLE","ITV_MERIDIAN"
"WEST_SUSSEX","WOODMANCOTE","ITV_MERIDIAN"
"CORNWALL","LISKEARD","ITV_WESTCOUNTRY"
"CORNWALL","STOKE_CLIMSLAND","ITV_WESTCOUNTRY"
"DEVON","LOXBEARE","ITV_WESTCOUNTRY"
"DEVON","TAVISTOCK","ITV_WESTCOUNTRY"
"DORSET","DRUCE","ITV_WESTCOUNTRY"
"DORSET","BRADFORD_ABBAS","ITV_WEST"
"GLOUCESTERSHIRE","NAILSWORTH","ITV_WEST"
"GLOUCESTERSHIRE","TURKDEAN","ITV_WEST"
"SWANSEA","CRAIG_CEFN_PARC","ITV_WEST"
"ABERDEENSHIRE","BANCHORY","STV_NORTH"
"EILEAN_SIAR","HAUN","STV_NORTH"
"EAST_AYRSHIRE","HOLLYBUSH","STV_SOUTH"
"EDINBURGH","NEWCRAIGHALL","STV_SOUTH"
"EAST_DUNBARTONSHIRE","MILTON_OF_CAMPSIE","STV_SOUTH"
