orig_geo_dma,orig_geo_dma_name
0,\N
662,ABILENE_SWEETWATER
525,ALBANY_GA
532,ALBANY_SCHENECTADY_TROY
790,ALBUQUERQUE_SANTA_FE
644,ALEXANDRIA_LA
583,ALPENA
634,AMARILLO
743,ANCHORAGE
524,ATLANTA
520,AUGUSTA_AIKEN
635,AUSTIN
800,BAKERSFIELD
512,BALTIMORE
537,BANGOR
716,BATON_ROUGE
692,BEAUMONT_PORT_ARTHUR
821,BEND_OR
756,BILLINGS
746,BILOXI_GULFPORT
502,BINGHAMTON
630,BIRMINGHAM_ANN_AND_TUSC
559,BLUEFIELD_BECKLEY_OAK_HILL
757,BOISE
506,BOSTON_MANCHESTER
736,BOWLING_GREEN
514,BUFFALO
523,BURLINGTON_PLATTSBURGH
754,BUTTE_BOZEMAN
767,CASPER_RIVERTON
637,CEDAR_RAPIDS_WTRLO_IWC_DUB
648,CHAMPAIGN_SPRNGFLD_DECATUR
564,CHARLESTON_HUNTINGTON
519,CHARLESTON_SC
517,CHARLOTTE
584,CHARLOTTESVILLE
575,CHATTANOOGA
759,CHEYENNE_SCOTTSBLUFF
602,CHICAGO
868,CHICO_REDDING
515,CINCINNATI
598,CLARKSBURG_WESTON
510,CLEVELAND_AKRON_CANTON
752,COLORADO_SPRINGS_PUEBLO
604,COLUMBIA_JEFFERSON_CITY
546,COLUMBIA_SC
522,COLUMBUS_GA_OPELIKA_AL
535,COLUMBUS_OH
673,COLUMBUS_TUPELO_W_PNT_HSTN
600,CORPUS_CHRISTI
623,DALLAS_FT_WORTH
682,DAVENPORT_R_ISLAND_MOLINE
542,DAYTON
751,DENVER
679,DES_MOINES_AMES
505,DETROIT
606,DOTHAN
676,DULUTH_SUPERIOR
765,EL_PASO_LAS_CRUCES
565,ELMIRA_CORNING
516,ERIE
801,EUGENE
802,EUREKA
649,EVANSVILLE
745,FAIRBANKS
724,FARGO_VALLEY_CITY
513,FLINT_SAGINAW_BAY_CITY
866,FRESNO_VISALIA
571,FT_MYERS_NAPLES
670,FT_SMITH_FAY_SPRNGDL_RGRS
509,FT_WAYNE
592,GAINESVILLE
798,GLENDIVE
773,GRAND_JUNCTION_MONTROSE
563,GRAND_RAPIDS_KALMZOO_B_CRK
755,GREAT_FALLS
658,GREEN_BAY_APPLETON
518,GREENSBORO_H_POINT_W_SALEM
545,GREENVILLE_N_BERN_WASHNGTN
567,GREENVLL_SPART_ASHEVLL_AND
647,GREENWOOD_GREENVILLE
636,HARLINGEN_WSLCO_BRNSVL_MCA
566,HARRISBURG_LNCSTR_LEB_YORK
569,HARRISONBURG
533,HARTFORD_NEW_HAVEN
710,HATTIESBURG_LAUREL
766,HELENA
744,HONOLULU
618,HOUSTON
691,HUNTSVILLE_DECATUR_FLOR
758,IDAHO_FALS_POCATLLO_JCKSN
527,INDIANAPOLIS
718,JACKSON_MS
639,JACKSON_TN
561,JACKSONVILLE
574,JOHNSTOWN_ALTOONA_ST_COLGE
734,JONESBORO
603,JOPLIN_PITTSBURG
747,JUNEAU
616,KANSAS_CITY
557,KNOXVILLE
702,LA_CROSSE_EAU_CLAIRE
582,LAFAYETTE_IN
642,LAFAYETTE_LA
643,LAKE_CHARLES
551,LANSING
749,LAREDO
839,LAS_VEGAS
541,LEXINGTON
558,LIMA
722,LINCOLN_HASTINGS_KRNY
693,LITTLE_ROCK_PINE_BLUFF
803,LOS_ANGELES
529,LOUISVILLE
651,LUBBOCK
503,MACON
669,MADISON
737,MANKATO
553,MARQUETTE
813,MEDFORD_KLAMATH_FALLS
640,MEMPHIS
711,MERIDIAN
528,MIAMI_FT_LAUDERDALE
617,MILWAUKEE
613,MINNEAPOLIS_ST_PAUL
687,MINOT_BSMRCK_DCKNSNWLSTN
762,MISSOULA
686,MOBILE_PENSACOLA_FT_WALT
628,MONROE_EL_DORADO
828,MONTEREY_SALINAS
698,MONTGOMERY_SELMA
570,MYRTLE_BEACH_FLORENCE
659,NASHVILLE
622,NEW_ORLEANS
501,NEW_YORK
544,NORFOLK_PORTSMTH_NEWPT_NWS
740,NORTH_PLATTE
633,ODESSA_MIDLAND
650,OKLAHOMA_CITY
652,OMAHA
534,ORLANDO_DAYTONA_BCH_MELBRN
631,OTTUMWA_KIRKSVILLE
632,PADUCAH_CAPE_GIRARD_HARSBG
804,PALM_SPRINGS
656,PANAMA_CITY
597,PARKERSBURG
675,PEORIA_BLOOMINGTON
504,PHILADELPHIA
753,PHOENIX_PRESCOTT
508,PITTSBURGH
500,PORTLAND_AUBURN
820,PORTLAND_OR
552,PRESQUE_ISLE
521,PROVIDENCE_NEW_BEDFORD
717,QUINCY_HANNIBAL_KEOKUK
560,RALEIGH_DURHAM_FAYETVLLE
764,RAPID_CITY
811,RENO
556,RICHMOND_PETERSBURG
573,ROANOKE_LYNCHBURG
538,ROCHESTER_NY
611,ROCHESTR_MASON_CITY_AUSTIN
610,ROCKFORD
862,SACRAMNTO_STKTON_MODESTO
576,SALISBURY
770,SALT_LAKE_CITY
661,SAN_ANGELO
641,SAN_ANTONIO
825,SAN_DIEGO
807,SAN_FRANCISCO_OAK_SAN_JOSE
855,SANTABARBRA_SANMAR_SANLUOB
507,SAVANNAH
819,SEATTLE_TACOMA
657,SHERMAN_ADA
612,SHREVEPORT
624,SIOUX_CITY
725,SIOUX_FALLS_MITCHELL
588,SOUTH_BEND_ELKHART
881,SPOKANE
543,SPRINGFIELD_HOLYOKE
619,SPRINGFIELD_MO
638,ST_JOSEPH
609,ST_LOUIS
555,SYRACUSE
530,TALLAHASSEE_THOMASVILLE
539,TAMPA_ST_PETE_SARASOTA
581,TERRE_HAUTE
547,TOLEDO
605,TOPEKA
540,TRAVERSE_CITY_CADILLAC
531,TRI_CITIES_TN_VA
789,TUCSON_SIERRA_VISTA
671,TULSA
760,TWIN_FALLS
709,TYLER_LONGVIEW_LFKN_NCGD
526,UTICA
626,VICTORIA
625,WACO_TEMPLE_BRYAN
511,WASHINGTON_DC_HAGRSTWN
549,WATERTOWN
705,WAUSAU_RHINELANDER
548,WEST_PALM_BEACH_FT_PIERCE
554,WHEELING_STEUBENVILLE
627,WICHITA_FALLS_LAWTON
678,WICHITA_HUTCHINSON_PLUS
577,WILKES_BARRE_SCRANTON_HZTN
550,WILMINGTON
810,YAKIMA_PASCO_RCHLND_KNNWCK
536,YOUNGSTOWN
771,YUMA_EL_CENTRO
596,ZANESVILLE
