orig_geo_region,orig_geo_region_name
RI,RHODE_ISLAND
AL,ALABAMA
NH,NEW_HAMPSHIRE
OK,OKLAHOMA
TX,TEXAS
AOL,AOL
KY,KENTUCKY
IA,IOWA
UT,UTAH
NY,NEW_YORK
ND,NORTH_DAKOTA
NJ,NEW_JERSEY
MA,MASSACHUSETTS
IN,INDIANA
NC,NORTH_CAROLINA
NE,NEBRASKA
KS,KANSAS
WI,WISCONSIN
MS,MISSISSIPPI
ME,MAINE
GA,GEORGIA
DE,DELAWARE
SC,SOUTH_CAROLINA
CO,COLORADO
OR,OREGON
IL,ILLINOIS
HI,HAWAII
SD,SOUTH_DAKOTA
NV,NEVADA
MD,MARYLAND
DC,DISTRICT_OF_COLUMBIA
AK,ALASKA
MO,MISSOURI
MI,MICHIGAN
MN,MINNESOTA
VA,VIRGINIA
AZ,ARIZONA
CA,CALIFORNIA
ID,IDAHO
WV,WEST_VIRGINIA
CT,CONNECTICUT
TN,TENNESSEE
AR,ARKANSAS
PA,PENNSYLVANIA
VT,VERMONT
WA,WASHINGTON
WY,WYOMING
OH,OHIO
NM,NEW_MEXICO
LA,LOUISIANA
MT,MONTANA
FL,FLORIDA
