geo_country,geo_region,geo_region_name,geo_dma_bespoke_region
GBR,ABC,ARMAGH_CITY_BANBRIDGE_AND_CRAIGAVON,ULSTER
GBR,ABD,ABERDEENSHIRE,STV_NORTH
GBR,ABE,ABERDEEN_CITY,STV_NORTH
GBR,AGB,ARGYLL_AND_BUTE,STV_CENTRAL
GBR,AGY,ISLE_OF_ANGLESEY,WALES
GBR,AND,ARDS_AND_NORTH_DOWN,ULSTER
GBR,ANN,ANTRIM_AND_NEWTOWNABBEY,ULSTER
GBR,ANS,ANGUS,STV_NORTH
GBR,ANT,ANTRIM,ULSTER
GBR,ARD,ARDS,ULSTER
GBR,ARM,ARMAGH,ULSTER
GBR,BAS,BATH_AND_NORTH_EAST_SOMERSET,WEST
GBR,BBD,BLACKBURN_WITH_DARWEN,GRANADA_NORTH_WEST
GBR,BDF,BEDFORDSHIRE,ANGLIA
GBR,BDG,BARKING_AND_DAGENHAM,LONDON
GBR,BEN,BRENT,LONDON
GBR,BEX,BEXLEY,LONDON
GBR,BFS,BELFAST,ULSTER
GBR,BGE,BRIDGEND,WALES
GBR,BGW,BLAENAU_GWENT,WALES
GBR,BIR,BIRMINGHAM,CENTRAL_MIDLANDS
GBR,BKM,BUCKINGHAMSHIRE,MERIDIAN
GBR,BLA,BALLYMENA,ULSTER
GBR,BLY,BALLYMONEY,ULSTER
GBR,BMH,BOURNEMOUTH,MERIDIAN
GBR,BNB,BANBRIDGE,ULSTER
GBR,BNE,BARNET,LONDON
GBR,BNH,BRIGHTON_AND_HOVE,MERIDIAN
GBR,BNS,BARNSLEY,YORKSHIRE
GBR,BOL,BOLTON,GRANADA_NORTH_WEST
GBR,BPL,BLACKPOOL,GRANADA_NORTH_WEST
GBR,BRC,BRACKNELL_FOREST,LONDON
GBR,BRD,BRADFORD,YORKSHIRE
GBR,BRY,BROMLEY,LONDON
GBR,BST,BRISTOL,WEST
GBR,BUR,BURY,GRANADA_NORTH_WEST
GBR,CAM,CAMBRIDGESHIRE,ANGLIA
GBR,CAY,CAERPHILLY,WALES
GBR,CBF,CENTRAL_BEDFORDSHIRE,ANGLIA
GBR,CCG,CAUSEWAY_COAST_AND_GLENS,ULSTER
GBR,CGN,CEREDIGION,WALES
GBR,CGV,CRAIGAVON,ULSTER
GBR,CHE,CHESHIRE_EAST,GRANADA_NORTH_WEST
GBR,CHW,CHESHIRE_WEST_AND_CHESTER,GRANADA_NORTH_WEST
GBR,CKF,CARRICKFERGUS,ULSTER
GBR,CKT,COOKSTOWN,ULSTER
GBR,CLD,CALDERDALE,YORKSHIRE
GBR,CLK,CLACKMANNANSHIRE,STV_CENTRAL
GBR,CLR,COLERAINE,ULSTER
GBR,CMA,CUMBRIA,WALES
GBR,CMD,CAMDEN,LONDON
GBR,CMN,CARMARTHENSHIRE,WALES
GBR,CON,CORNWALL,WEST_COUNTRY
GBR,COV,COVENTRY,CENTRAL_MIDLANDS
GBR,CRF,CARDIFF,WALES
GBR,CRY,CROYDON,LONDON
GBR,CSR,CASTLEREAGH,ULSTER
GBR,CWY,CONWY,WALES
GBR,DAL,DARLINGTON,BORDER
GBR,DBY,DERBYSHIRE,CENTRAL_MIDLANDS
GBR,DEN,DENBIGHSHIRE,WALES
GBR,DER,DERBY,CENTRAL_MIDLANDS
GBR,DEV,DEVON,WEST_COUNTRY
GBR,DGN,DUNGANNON_AND_SOUTH_TYRONE,ULSTER
GBR,DGY,DUMFRIES_AND_GALLOWAY,STV_CENTRAL
GBR,DNC,DONCASTER,YORKSHIRE
GBR,DND,DUNDEE_CITY,STV_NORTH
GBR,DOR,DORSET,WEST_COUNTRY
GBR,DOW,DOWN,ULSTER
GBR,DRS,DERRY_CITY_AND_STRABANE,ULSTER
GBR,DRY,DERRY,ULSTER
GBR,DUD,DUDLEY,CENTRAL_MIDLANDS
GBR,DUR,DURHAM,TYNE_TEES
GBR,EAL,EALING,LONDON
GBR,EAY,EAST_AYRSHIRE,STV_CENTRAL
GBR,EDH,EDINBURGH,STV_CENTRAL
GBR,EDU,EAST_DUNBARTONSHIRE,STV_CENTRAL
GBR,ELN,EAST_LOTHIAN,STV_CENTRAL
GBR,ELS,EILEAN_SIAR,STV_NORTH
GBR,ENF,ENFIELD,LONDON
GBR,ERW,EAST_RENFREWSHIRE,STV_CENTRAL
GBR,ERY,EAST_RIDING_OF_YORKSHIRE,YORKSHIRE
GBR,ESS,ESSEX,LONDON
GBR,ESX,EAST_SUSSEX,MERIDIAN
GBR,FAL,FALKIRK,STV_CENTRAL
GBR,FER,FERMANAGH,ULSTER
GBR,FIF,FIFE,STV_CENTRAL
GBR,FLN,FLINTSHIRE,WALES
GBR,FMO,FERMANAGH_AND_OMAGH,ULSTER
GBR,GAT,GATESHEAD,TYNE_TEES
GBR,GLG,GLASGOW_CITY,STV_CENTRAL
GBR,GLS,GLOUCESTERSHIRE,CENTRAL_MIDLANDS
GBR,GRE,GREENWICH,LONDON
GBR,GWN,GWYNEDD,WALES
GBR,HAL,HALTON,GRANADA_NORTH_WEST
GBR,HAM,HAMPSHIRE,MERIDIAN
GBR,HAV,HAVERING,LONDON
GBR,HCK,HACKNEY,LONDON
GBR,HEF,HEREFORDSHIRE,CENTRAL_MIDLANDS
GBR,HIL,HILLINGDON,LONDON
GBR,HLD,HIGHLAND,STV_NORTH
GBR,HMF,HAMMERSMITH_AND_FULHAM,LONDON
GBR,HNS,HOUNSLOW,LONDON
GBR,HPL,HARTLEPOOL,TYNE_TEES
GBR,HRT,HERTFORDSHIRE,LONDON
GBR,HRW,HARROW,LONDON
GBR,HRY,HARINGEY,LONDON
GBR,IOW,ISLE_OF_WIGHT,MERIDIAN
GBR,ISL,ISLINGTON,LONDON
GBR,IVC,INVERCLYDE,STV_CENTRAL
GBR,KEC,KENSINGTON_AND_CHELSEA,LONDON
GBR,KEN,KENT,LONDON
GBR,KHL,KINGSTON_UPON_HULL,YORKSHIRE
GBR,KIR,KIRKLEES,YORKSHIRE
GBR,KTT,KINGSTON_UPON_THAMES,LONDON
GBR,KWL,KNOWSLEY,GRANADA_NORTH_WEST
GBR,LAN,LANCASHIRE,GRANADA_NORTH_WEST
GBR,LBC,LISBURN_AND_CASTLEREAGH,ULSTER
GBR,LBH,LAMBETH,LONDON
GBR,LCE,LEICESTER,CENTRAL_MIDLANDS
GBR,LDS,LEEDS,YORKSHIRE
GBR,LEC,LEICESTERSHIRE,CENTRAL_MIDLANDS
GBR,LEW,LEWISHAM,LONDON
GBR,LIN,LINCOLNSHIRE,YORKSHIRE
GBR,LIV,LIVERPOOL,GRANADA_NORTH_WEST
GBR,LMV,LIMAVADY,ULSTER
GBR,LND,LONDON,LONDON
GBR,LRN,LARNE,ULSTER
GBR,LSB,LISBURN,ULSTER
GBR,LUT,LUTON,LONDON
GBR,MAN,MANCHESTER,GRANADA_NORTH_WEST
GBR,MDB,MIDDLESBROUGH,TYNE_TEES
GBR,MDW,MEDWAY,MERIDIAN
GBR,MEA,MID_AND_EAST_ANTRIM,ULSTER
GBR,MFT,MAGHERAFELT,ULSTER
GBR,MIK,MILTON_KEYNES,ANGLIA
GBR,MLN,MIDLOTHIAN,STV_CENTRAL
GBR,MON,MONMOUTHSHIRE,WALES
GBR,MRT,MERTON,LONDON
GBR,MRY,MORAY,STV_NORTH
GBR,MTY,MERTHYR_TYDFIL,WALES
GBR,MUL,MID_ULSTER,ULSTER
GBR,MYL,MOYLE,ULSTER
GBR,NAY,NORTH_AYRSHIRE,STV_CENTRAL
GBR,NBL,NORTHUMBERLAND,TYNE_TEES
