"","region","neighbors","posa","geo_grain"
"1","ARACAJU","ARACAJU","BRA","geo_dma_bespoke"
"2","ARACAJU","MACEIO","BRA","geo_dma_bespoke"
"3","ARACAJU","SALVADOR","BRA","geo_dma_bespoke"
"4","ARACAJU","UNCLASSIFIED","BRA","geo_dma_bespoke"
"5","ARACAJU",NA,"BRA","geo_dma_bespoke"
"6","BELEM","BELEM","BRA","geo_dma_bespoke"
"7","BELEM","CUIABA","BRA","geo_dma_bespoke"
"8","BELEM","MACAPA","BRA","geo_dma_bespoke"
"9","BELEM","SAO_LUIS","BRA","geo_dma_bespoke"
"10","BELEM","UNCLASSIFIED","BRA","geo_dma_bespoke"
"11","BELEM",NA,"BRA","geo_dma_bespoke"
"12","BELO_HORIZONTE","BELO_HORIZONTE","BRA","geo_dma_bespoke"
"13","BELO_HORIZONTE","UNCLASSIFIED","BRA","geo_dma_bespoke"
"14","BELO_HORIZONTE",NA,"BRA","geo_dma_bespoke"
"15","BOA_VISTA","BOA_VISTA","BRA","geo_dma_bespoke"
"16","BOA_VISTA","MANAUS","BRA","geo_dma_bespoke"
"17","BOA_VISTA","UNCLASSIFIED","BRA","geo_dma_bespoke"
"18","BOA_VISTA",NA,"BRA","geo_dma_bespoke"
"19","BRASILIA","BRASILIA","BRA","geo_dma_bespoke"
"20","BRASILIA","UNCLASSIFIED","BRA","geo_dma_bespoke"
"21","CAMPINAS","CAMPINAS","BRA","geo_dma_bespoke"
"22","CAMPINAS","UNCLASSIFIED","BRA","geo_dma_bespoke"
"23","CAMPINAS",NA,"BRA","geo_dma_bespoke"
"24","CAMPO_GRANDE","CAMPO_GRANDE","BRA","geo_dma_bespoke"
"25","CAMPO_GRANDE","UNCLASSIFIED","BRA","geo_dma_bespoke"
"26","CAMPO_GRANDE",NA,"BRA","geo_dma_bespoke"
"27","CUIABA","BELEM","BRA","geo_dma_bespoke"
"28","CUIABA","CUIABA","BRA","geo_dma_bespoke"
"29","CUIABA","GOIANIA","BRA","geo_dma_bespoke"
"30","CUIABA","MANAUS","BRA","geo_dma_bespoke"
"31","CUIABA","PORTO_VELHO","BRA","geo_dma_bespoke"
"32","CUIABA","UNCLASSIFIED","BRA","geo_dma_bespoke"
"33","CUIABA",NA,"BRA","geo_dma_bespoke"
"34","CURITBA","CURITBA","BRA","geo_dma_bespoke"
"35","CURITBA","UNCLASSIFIED","BRA","geo_dma_bespoke"
"36","CURITBA",NA,"BRA","geo_dma_bespoke"
"37","FLORIANOPOLIS","FLORIANOPOLIS","BRA","geo_dma_bespoke"
"38","FLORIANOPOLIS","UNCLASSIFIED","BRA","geo_dma_bespoke"
"39","FLORIANOPOLIS",NA,"BRA","geo_dma_bespoke"
"40","FORTALEZA","FORTALEZA","BRA","geo_dma_bespoke"
"41","FORTALEZA","TERESINA","BRA","geo_dma_bespoke"
"42","FORTALEZA","UNCLASSIFIED","BRA","geo_dma_bespoke"
"43","FORTALEZA",NA,"BRA","geo_dma_bespoke"
"44","GOIANIA","CUIABA","BRA","geo_dma_bespoke"
"45","GOIANIA","GOIANIA","BRA","geo_dma_bespoke"
"46","GOIANIA","UNCLASSIFIED","BRA","geo_dma_bespoke"
"47","GOIANIA",NA,"BRA","geo_dma_bespoke"
"48","JOAO_PESSOA","JOAO_PESSOA","BRA","geo_dma_bespoke"
"49","JOAO_PESSOA","NATAL","BRA","geo_dma_bespoke"
"50","JOAO_PESSOA","RECIFE","BRA","geo_dma_bespoke"
"51","JOAO_PESSOA","UNCLASSIFIED","BRA","geo_dma_bespoke"
"52","JOAO_PESSOA",NA,"BRA","geo_dma_bespoke"
"53","MACAPA","BELEM","BRA","geo_dma_bespoke"
"54","MACAPA","MACAPA","BRA","geo_dma_bespoke"
"55","MACAPA",NA,"BRA","geo_dma_bespoke"
"56","MACEIO","ARACAJU","BRA","geo_dma_bespoke"
"57","MACEIO","MACEIO","BRA","geo_dma_bespoke"
"58","MACEIO","RECIFE","BRA","geo_dma_bespoke"
"59","MACEIO","UNCLASSIFIED","BRA","geo_dma_bespoke"
"60","MACEIO",NA,"BRA","geo_dma_bespoke"
"61","MANAUS","BOA_VISTA","BRA","geo_dma_bespoke"
"62","MANAUS","CUIABA","BRA","geo_dma_bespoke"
"63","MANAUS","MANAUS","BRA","geo_dma_bespoke"
"64","MANAUS","PORTO_VELHO","BRA","geo_dma_bespoke"
"65","MANAUS","RIO_BRANCO","BRA","geo_dma_bespoke"
"66","MANAUS","UNCLASSIFIED","BRA","geo_dma_bespoke"
"67","MANAUS",NA,"BRA","geo_dma_bespoke"
"68","NATAL","JOAO_PESSOA","BRA","geo_dma_bespoke"
"69","NATAL","NATAL","BRA","geo_dma_bespoke"
"70","NATAL","UNCLASSIFIED","BRA","geo_dma_bespoke"
"71","NATAL",NA,"BRA","geo_dma_bespoke"
"72","PALMAS","PALMAS","BRA","geo_dma_bespoke"
"73","PALMAS","UNCLASSIFIED","BRA","geo_dma_bespoke"
"74","PALMAS",NA,"BRA","geo_dma_bespoke"
"75","PORTO_ALEGRE","PORTO_ALEGRE","BRA","geo_dma_bespoke"
"76","PORTO_ALEGRE","UNCLASSIFIED","BRA","geo_dma_bespoke"
"77","PORTO_ALEGRE",NA,"BRA","geo_dma_bespoke"
"78","PORTO_VELHO","CUIABA","BRA","geo_dma_bespoke"
"79","PORTO_VELHO","MANAUS","BRA","geo_dma_bespoke"
"80","PORTO_VELHO","PORTO_VELHO","BRA","geo_dma_bespoke"
"81","PORTO_VELHO","RIO_BRANCO","BRA","geo_dma_bespoke"
"82","PORTO_VELHO","UNCLASSIFIED","BRA","geo_dma_bespoke"
"83","PORTO_VELHO",NA,"BRA","geo_dma_bespoke"
"84","RECIFE","JOAO_PESSOA","BRA","geo_dma_bespoke"
"85","RECIFE","MACEIO","BRA","geo_dma_bespoke"
"86","RECIFE","RECIFE","BRA","geo_dma_bespoke"
"87","RECIFE","UNCLASSIFIED","BRA","geo_dma_bespoke"
"88","RECIFE",NA,"BRA","geo_dma_bespoke"
"89","RIO_BRANCO","MANAUS","BRA","geo_dma_bespoke"
"90","RIO_BRANCO","PORTO_VELHO","BRA","geo_dma_bespoke"
"91","RIO_BRANCO","RIO_BRANCO","BRA","geo_dma_bespoke"
"92","RIO_BRANCO","UNCLASSIFIED","BRA","geo_dma_bespoke"
"93","RIO_BRANCO",NA,"BRA","geo_dma_bespoke"
"94","RIO_DE_JANEIRO","RIO_DE_JANEIRO","BRA","geo_dma_bespoke"
"95","RIO_DE_JANEIRO","UNCLASSIFIED","BRA","geo_dma_bespoke"
"96","RIO_DE_JANEIRO",NA,"BRA","geo_dma_bespoke"
"97","SALVADOR","ARACAJU","BRA","geo_dma_bespoke"
"98","SALVADOR","SALVADOR","BRA","geo_dma_bespoke"
"99","SALVADOR","UNCLASSIFIED","BRA","geo_dma_bespoke"
"100","SALVADOR",NA,"BRA","geo_dma_bespoke"
"101","SAO_LUIS","BELEM","BRA","geo_dma_bespoke"
"102","SAO_LUIS","SAO_LUIS","BRA","geo_dma_bespoke"
"103","SAO_LUIS","TERESINA","BRA","geo_dma_bespoke"
"104","SAO_LUIS","UNCLASSIFIED","BRA","geo_dma_bespoke"
"105","SAO_LUIS",NA,"BRA","geo_dma_bespoke"
"106","SAO_PAULO","SAO_PAULO","BRA","geo_dma_bespoke"
"107","SAO_PAULO","UNCLASSIFIED","BRA","geo_dma_bespoke"
"108","SAO_PAULO",NA,"BRA","geo_dma_bespoke"
"109","TERESINA","FORTALEZA","BRA","geo_dma_bespoke"
"110","TERESINA","SAO_LUIS","BRA","geo_dma_bespoke"
"111","TERESINA","TERESINA","BRA","geo_dma_bespoke"
"112","TERESINA","UNCLASSIFIED","BRA","geo_dma_bespoke"
"113","TERESINA",NA,"BRA","geo_dma_bespoke"
"114","UNCLASSIFIED","ARACAJU","BRA","geo_dma_bespoke"
"115","UNCLASSIFIED","BELEM","BRA","geo_dma_bespoke"
"116","UNCLASSIFIED","BELO_HORIZONTE","BRA","geo_dma_bespoke"
"117","UNCLASSIFIED","BOA_VISTA","BRA","geo_dma_bespoke"
"118","UNCLASSIFIED","BRASILIA","BRA","geo_dma_bespoke"
"119","UNCLASSIFIED","CAMPINAS","BRA","geo_dma_bespoke"
"120","UNCLASSIFIED","CAMPO_GRANDE","BRA","geo_dma_bespoke"
"121","UNCLASSIFIED","CUIABA","BRA","geo_dma_bespoke"
"122","UNCLASSIFIED","CURITBA","BRA","geo_dma_bespoke"
"123","UNCLASSIFIED","FLORIANOPOLIS","BRA","geo_dma_bespoke"
"124","UNCLASSIFIED","FORTALEZA","BRA","geo_dma_bespoke"
"125","UNCLASSIFIED","GOIANIA","BRA","geo_dma_bespoke"
"126","UNCLASSIFIED","JOAO_PESSOA","BRA","geo_dma_bespoke"
"127","UNCLASSIFIED","MACEIO","BRA","geo_dma_bespoke"
"128","UNCLASSIFIED","MANAUS","BRA","geo_dma_bespoke"
"129","UNCLASSIFIED","NATAL","BRA","geo_dma_bespoke"
"130","UNCLASSIFIED","PALMAS","BRA","geo_dma_bespoke"
"131","UNCLASSIFIED","PORTO_ALEGRE","BRA","geo_dma_bespoke"
"132","UNCLASSIFIED","PORTO_VELHO","BRA","geo_dma_bespoke"
"133","UNCLASSIFIED","RECIFE","BRA","geo_dma_bespoke"
"134","UNCLASSIFIED","RIO_BRANCO","BRA","geo_dma_bespoke"
"135","UNCLASSIFIED","RIO_DE_JANEIRO","BRA","geo_dma_bespoke"
"136","UNCLASSIFIED","SALVADOR","BRA","geo_dma_bespoke"
"137","UNCLASSIFIED","SAO_LUIS","BRA","geo_dma_bespoke"
"138","UNCLASSIFIED","SAO_PAULO","BRA","geo_dma_bespoke"
"139","UNCLASSIFIED","TERESINA","BRA","geo_dma_bespoke"
"140","UNCLASSIFIED","UNCLASSIFIED","BRA","geo_dma_bespoke"
"141","UNCLASSIFIED","VITORIA","BRA","geo_dma_bespoke"
"142","UNCLASSIFIED",NA,"BRA","geo_dma_bespoke"
"143","VITORIA","UNCLASSIFIED","BRA","geo_dma_bespoke"
"144","VITORIA","VITORIA","BRA","geo_dma_bespoke"
"145",NA,"ARACAJU","BRA","geo_dma_bespoke"
"146",NA,"BELEM","BRA","geo_dma_bespoke"
"147",NA,"BELO_HORIZONTE","BRA","geo_dma_bespoke"
"148",NA,"BOA_VISTA","BRA","geo_dma_bespoke"
"149",NA,"CAMPINAS","BRA","geo_dma_bespoke"
"150",NA,"CAMPO_GRANDE","BRA","geo_dma_bespoke"
"151",NA,"CUIABA","BRA","geo_dma_bespoke"
"152",NA,"CURITBA","BRA","geo_dma_bespoke"
"153",NA,"FLORIANOPOLIS","BRA","geo_dma_bespoke"
"154",NA,"FORTALEZA","BRA","geo_dma_bespoke"
"155",NA,"GOIANIA","BRA","geo_dma_bespoke"
"156",NA,"JOAO_PESSOA","BRA","geo_dma_bespoke"
"157",NA,"MACAPA","BRA","geo_dma_bespoke"
"158",NA,"MACEIO","BRA","geo_dma_bespoke"
"159",NA,"MANAUS","BRA","geo_dma_bespoke"
"160",NA,"NATAL","BRA","geo_dma_bespoke"
"161",NA,"PALMAS","BRA","geo_dma_bespoke"
"162",NA,"PORTO_ALEGRE","BRA","geo_dma_bespoke"
"163",NA,"PORTO_VELHO","BRA","geo_dma_bespoke"
"164",NA,"RECIFE","BRA","geo_dma_bespoke"
"165",NA,"RIO_BRANCO","BRA","geo_dma_bespoke"
"166",NA,"RIO_DE_JANEIRO","BRA","geo_dma_bespoke"
"167",NA,"SALVADOR","BRA","geo_dma_bespoke"
"168",NA,"SAO_LUIS","BRA","geo_dma_bespoke"
"169",NA,"SAO_PAULO","BRA","geo_dma_bespoke"
"170",NA,"TERESINA","BRA","geo_dma_bespoke"
"171",NA,"UNCLASSIFIED","BRA","geo_dma_bespoke"
"172",NA,NA,"BRA","geo_dma_bespoke"
