"","region","neighbors","posa","geo_grain"
"1","ACRE","ACRE","BRA","adju_geo_region_name"
"2","ACRE","AMAZONAS","BRA","adju_geo_region_name"
"3","ACRE","RONDONIA","BRA","adju_geo_region_name"
"4","ALAGOAS","ALAGOAS","BRA","adju_geo_region_name"
"5","ALAGOAS","BAHIA","BRA","adju_geo_region_name"
"6","ALAGOAS","PERNAMBUCO","BRA","adju_geo_region_name"
"7","ALAGOAS","SERGIPE","BRA","adju_geo_region_name"
"8","AMAPA","AMAPA","BRA","adju_geo_region_name"
"9","AMAPA","PARA","BRA","adju_geo_region_name"
"10","AMAZONAS","ACRE","BRA","adju_geo_region_name"
"11","AMAZONAS","AMAZONAS","BRA","adju_geo_region_name"
"12","AMAZONAS","MATO_GROSSO","BRA","adju_geo_region_name"
"13","AMAZONAS","PARA","BRA","adju_geo_region_name"
"14","AMAZONAS","RONDONIA","BRA","adju_geo_region_name"
"15","AMAZONAS","RORAIMA","BRA","adju_geo_region_name"
"16","AMAZONAS","SANTA_CATARINA","BRA","adju_geo_region_name"
"17","BAHIA","ALAGOAS","BRA","adju_geo_region_name"
"18","BAHIA","BAHIA","BRA","adju_geo_region_name"
"19","BAHIA","ESPIRITO_SANTO","BRA","adju_geo_region_name"
"20","BAHIA","GOIAS","BRA","adju_geo_region_name"
"21","BAHIA","MINAS_GERAIS","BRA","adju_geo_region_name"
"22","BAHIA","PARAIBA","BRA","adju_geo_region_name"
"23","BAHIA","PERNAMBUCO","BRA","adju_geo_region_name"
"24","BAHIA","PIAUI","BRA","adju_geo_region_name"
"25","BAHIA","SERGIPE","BRA","adju_geo_region_name"
"26","BAHIA","TOCANTINS","BRA","adju_geo_region_name"
"27","CEARA","CEARA","BRA","adju_geo_region_name"
"28","CEARA","PARAIBA","BRA","adju_geo_region_name"
"29","CEARA","PERNAMBUCO","BRA","adju_geo_region_name"
"30","CEARA","PIAUI","BRA","adju_geo_region_name"
"31","CEARA","RIO_GRANDE_DO_NORTE","BRA","adju_geo_region_name"
"32","DISTRITO_FEDERAL","DISTRITO_FEDERAL","BRA","adju_geo_region_name"
"33","DISTRITO_FEDERAL","GOIAS","BRA","adju_geo_region_name"
"34","DISTRITO_FEDERAL","MINAS_GERAIS","BRA","adju_geo_region_name"
"35","ESPIRITO_SANTO","BAHIA","BRA","adju_geo_region_name"
"36","ESPIRITO_SANTO","ESPIRITO_SANTO","BRA","adju_geo_region_name"
"37","ESPIRITO_SANTO","MINAS_GERAIS","BRA","adju_geo_region_name"
"38","ESPIRITO_SANTO","RIO_DE_JANEIRO","BRA","adju_geo_region_name"
"39","GOIAS","BAHIA","BRA","adju_geo_region_name"
"40","GOIAS","DISTRITO_FEDERAL","BRA","adju_geo_region_name"
"41","GOIAS","GOIAS","BRA","adju_geo_region_name"
"42","GOIAS","MATO_GROSSO","BRA","adju_geo_region_name"
"43","GOIAS","MATO_GROSSO_DO_SUL","BRA","adju_geo_region_name"
"44","GOIAS","MINAS_GERAIS","BRA","adju_geo_region_name"
"45","GOIAS","TOCANTINS","BRA","adju_geo_region_name"
"46","MARANHAO","MARANHAO","BRA","adju_geo_region_name"
"47","MARANHAO","PARA","BRA","adju_geo_region_name"
"48","MARANHAO","PIAUI","BRA","adju_geo_region_name"
"49","MARANHAO","TOCANTINS","BRA","adju_geo_region_name"
"50","MATO_GROSSO","AMAZONAS","BRA","adju_geo_region_name"
