"","region","neighbors","posa","geo_grain"
"1","ANDALUCIA","ANDALUCIA","ESP","geo_dma_bespoke"
"2","ANDALUCIA","CASTILLA_LA_MANCHA","ESP","geo_dma_bespoke"
"3","ANDALUCIA","EXTREMADURA","ESP","geo_dma_bespoke"
"4","ANDALUCIA","MURCIA","ESP","geo_dma_bespoke"
"5","ARAGON","ARAGON","ESP","geo_dma_bespoke"
"6","ARAGON","CASTILLA_LA_MANCHA","ESP","geo_dma_bespoke"
"7","ARAGON","CASTILLA_Y_LEON","ESP","geo_dma_bespoke"
"8","ARAGON","CATALUNA_","ESP","geo_dma_bespoke"
"9","ARAGON","LA_RIOJA","ESP","geo_dma_bespoke"
"10","ARAGON","NAVARRA","ESP","geo_dma_bespoke"
"11","ARAGON","VALENCIA","ESP","geo_dma_bespoke"
"12","ASTURIAS","ASTURIAS","ESP","geo_dma_bespoke"
"13","ASTURIAS","CANTABRIA","ESP","geo_dma_bespoke"
"14","ASTURIAS","CASTILLA_Y_LEON","ESP","geo_dma_bespoke"
"15","ASTURIAS","GALICIA","ESP","geo_dma_bespoke"
"16","CANARIAS","CANARIAS","ESP","geo_dma_bespoke"
"17","CANTABRIA","ASTURIAS","ESP","geo_dma_bespoke"
"18","CANTABRIA","CANTABRIA","ESP","geo_dma_bespoke"
"19","CANTABRIA","CASTILLA_Y_LEON","ESP","geo_dma_bespoke"
"20","CANTABRIA","PAIS_VASCO","ESP","geo_dma_bespoke"
"21","CASTILLA_LA_MANCHA","ANDALUCIA","ESP","geo_dma_bespoke"
"22","CASTILLA_LA_MANCHA","ARAGON","ESP","geo_dma_bespoke"
"23","CASTILLA_LA_MANCHA","CASTILLA_LA_MANCHA","ESP","geo_dma_bespoke"
"24","CASTILLA_LA_MANCHA","CASTILLA_Y_LEON","ESP","geo_dma_bespoke"
"25","CASTILLA_LA_MANCHA","EXTREMADURA","ESP","geo_dma_bespoke"
"26","CASTILLA_LA_MANCHA","MADRID","ESP","geo_dma_bespoke"
"27","CASTILLA_LA_MANCHA","MURCIA","ESP","geo_dma_bespoke"
"28","CASTILLA_LA_MANCHA","VALENCIA","ESP","geo_dma_bespoke"
"29","CASTILLA_Y_LEON","ARAGON","ESP","geo_dma_bespoke"
"30","CASTILLA_Y_LEON","ASTURIAS","ESP","geo_dma_bespoke"
"31","CASTILLA_Y_LEON","CANTABRIA","ESP","geo_dma_bespoke"
"32","CASTILLA_Y_LEON","CASTILLA_LA_MANCHA","ESP","geo_dma_bespoke"
"33","CASTILLA_Y_LEON","CASTILLA_Y_LEON","ESP","geo_dma_bespoke"
"34","CASTILLA_Y_LEON","EXTREMADURA","ESP","geo_dma_bespoke"
"35","CASTILLA_Y_LEON","GALICIA","ESP","geo_dma_bespoke"
"36","CASTILLA_Y_LEON","LA_RIOJA","ESP","geo_dma_bespoke"
"37","CASTILLA_Y_LEON","MADRID","ESP","geo_dma_bespoke"
"38","CASTILLA_Y_LEON","PAIS_VASCO","ESP","geo_dma_bespoke"
"39","CATALUNA_","ARAGON","ESP","geo_dma_bespoke"
"40","CATALUNA_","CATALUNA_","ESP","geo_dma_bespoke"
"41","CATALUNA_","VALENCIA","ESP","geo_dma_bespoke"
"42","CEUTA_Y_MELILLA","CEUTA_Y_MELILLA","ESP","geo_dma_bespoke"
"43","EXTREMADURA","ANDALUCIA","ESP","geo_dma_bespoke"
"44","EXTREMADURA","CASTILLA_LA_MANCHA","ESP","geo_dma_bespoke"
"45","EXTREMADURA","CASTILLA_Y_LEON","ESP","geo_dma_bespoke"
"46","EXTREMADURA","EXTREMADURA","ESP","geo_dma_bespoke"
"47","GALICIA","ASTURIAS","ESP","geo_dma_bespoke"
"48","GALICIA","CASTILLA_Y_LEON","ESP","geo_dma_bespoke"
"49","GALICIA","GALICIA","ESP","geo_dma_bespoke"
"50","ISLAS_BALEARES","ISLAS_BALEARES","ESP","geo_dma_bespoke"
"51","LA_RIOJA","ARAGON","ESP","geo_dma_bespoke"
"52","LA_RIOJA","CASTILLA_Y_LEON","ESP","geo_dma_bespoke"
"53","LA_RIOJA","LA_RIOJA","ESP","geo_dma_bespoke"
"54","LA_RIOJA","NAVARRA","ESP","geo_dma_bespoke"
"55","LA_RIOJA","PAIS_VASCO","ESP","geo_dma_bespoke"
"56","MADRID","CASTILLA_LA_MANCHA","ESP","geo_dma_bespoke"
"57","MADRID","CASTILLA_Y_LEON","ESP","geo_dma_bespoke"
"58","MADRID","MADRID","ESP","geo_dma_bespoke"
"59","MURCIA","ANDALUCIA","ESP","geo_dma_bespoke"
"60","MURCIA","CASTILLA_LA_MANCHA","ESP","geo_dma_bespoke"
"61","MURCIA","MURCIA","ESP","geo_dma_bespoke"
"62","MURCIA","VALENCIA","ESP","geo_dma_bespoke"
"63","NAVARRA","ARAGON","ESP","geo_dma_bespoke"
"64","NAVARRA","LA_RIOJA","ESP","geo_dma_bespoke"
"65","NAVARRA","NAVARRA","ESP","geo_dma_bespoke"
"66","NAVARRA","PAIS_VASCO","ESP","geo_dma_bespoke"
"67","PAIS_VASCO","CANTABRIA","ESP","geo_dma_bespoke"
"68","PAIS_VASCO","CASTILLA_Y_LEON","ESP","geo_dma_bespoke"
"69","PAIS_VASCO","LA_RIOJA","ESP","geo_dma_bespoke"
"70","PAIS_VASCO","NAVARRA","ESP","geo_dma_bespoke"
"71","PAIS_VASCO","PAIS_VASCO","ESP","geo_dma_bespoke"
"72","VALENCIA","ARAGON","ESP","geo_dma_bespoke"
"73","VALENCIA","CASTILLA_LA_MANCHA","ESP","geo_dma_bespoke"
"74","VALENCIA","CATALUNA_","ESP","geo_dma_bespoke"
"75","VALENCIA","MURCIA","ESP","geo_dma_bespoke"
"76","VALENCIA","VALENCIA","ESP","geo_dma_bespoke"
