"","region","neighbors","posa","geo_grain"
"1","BUK_GU_BUSAN","BUK_GU_BUSAN","KOR","geo_dma_bespoke"
"2","BUK_GU_BUSAN","BUSANJIN_GU","KOR","geo_dma_bespoke"
"3","BUK_GU_BUSAN","DONGRAE_GU","KOR","geo_dma_bespoke"
"4","BUK_GU_BUSAN","GANGSEO_GU_BUSAN","KOR","geo_dma_bespoke"
"5","BUK_GU_BUSAN","GEUMJEONG_GU","KOR","geo_dma_bespoke"
"6","BUK_GU_BUSAN","SASANG_GU","KOR","geo_dma_bespoke"
"7","BUK_GU_BUSAN","GIMHAE_SI","KOR","geo_dma_bespoke"
"8","BUK_GU_BUSAN","YANGSAN_SI","KOR","geo_dma_bespoke"
"9","BUSANJIN_GU","BUK_GU_BUSAN","KOR","geo_dma_bespoke"
"10","BUSANJIN_GU","BUSANJIN_GU","KOR","geo_dma_bespoke"
"11","BUSANJIN_GU","DONG_GU_BUSAN","KOR","geo_dma_bespoke"
"12","BUSANJIN_GU","DONGRAE_GU","KOR","geo_dma_bespoke"
"13","BUSANJIN_GU","NAM_GU_BUSAN","KOR","geo_dma_bespoke"
"14","BUSANJIN_GU","SASANG_GU","KOR","geo_dma_bespoke"
"15","BUSANJIN_GU","JUNG_GU_BUSAN","KOR","geo_dma_bespoke"
"16","BUSANJIN_GU","YEONJE_GU","KOR","geo_dma_bespoke"
"17","DONG_GU_BUSAN","BUSANJIN_GU","KOR","geo_dma_bespoke"
"18","DONG_GU_BUSAN","DONG_GU_BUSAN","KOR","geo_dma_bespoke"
"19","DONG_GU_BUSAN","NAM_GU_BUSAN","KOR","geo_dma_bespoke"
"20","DONG_GU_BUSAN","JUNG_GU_BUSAN","KOR","geo_dma_bespoke"
"21","DONG_GU_BUSAN","JUNG_GU_INCHEON","KOR","geo_dma_bespoke"
"22","DONGRAE_GU","BUK_GU_BUSAN","KOR","geo_dma_bespoke"
"23","DONGRAE_GU","BUSANJIN_GU","KOR","geo_dma_bespoke"
"24","DONGRAE_GU","DONGRAE_GU","KOR","geo_dma_bespoke"
"25","DONGRAE_GU","GEUMJEONG_GU","KOR","geo_dma_bespoke"
"26","DONGRAE_GU","HAEUNDAE_GU","KOR","geo_dma_bespoke"
"27","DONGRAE_GU","YEONJE_GU","KOR","geo_dma_bespoke"
"28","GANGSEO_GU_BUSAN","BUK_GU_BUSAN","KOR","geo_dma_bespoke"
"29","GANGSEO_GU_BUSAN","GANGSEO_GU_BUSAN","KOR","geo_dma_bespoke"
"30","GANGSEO_GU_BUSAN","SAHA_GU","KOR","geo_dma_bespoke"
"31","GANGSEO_GU_BUSAN","SASANG_GU","KOR","geo_dma_bespoke"
"32","GANGSEO_GU_BUSAN","GIMHAE_SI","KOR","geo_dma_bespoke"
"33","GANGSEO_GU_BUSAN","JINHAE_SI","KOR","geo_dma_bespoke"
"34","GEUMJEONG_GU","BUK_GU_BUSAN","KOR","geo_dma_bespoke"
"35","GEUMJEONG_GU","DONGRAE_GU","KOR","geo_dma_bespoke"
"36","GEUMJEONG_GU","GEUMJEONG_GU","KOR","geo_dma_bespoke"
"37","GEUMJEONG_GU","GIJANG_GUN","KOR","geo_dma_bespoke"
"38","GEUMJEONG_GU","HAEUNDAE_GU","KOR","geo_dma_bespoke"
"39","GEUMJEONG_GU","YANGSAN_SI","KOR","geo_dma_bespoke"
"40","GIJANG_GUN","GEUMJEONG_GU","KOR","geo_dma_bespoke"
"41","GIJANG_GUN","GIJANG_GUN","KOR","geo_dma_bespoke"
"42","GIJANG_GUN","HAEUNDAE_GU","KOR","geo_dma_bespoke"
"43","GIJANG_GUN","YANGSAN_SI","KOR","geo_dma_bespoke"
"44","GIJANG_GUN","ULJU_GUN","KOR","geo_dma_bespoke"
"45","HAEUNDAE_GU","DONGRAE_GU","KOR","geo_dma_bespoke"
"46","HAEUNDAE_GU","GEUMJEONG_GU","KOR","geo_dma_bespoke"
"47","HAEUNDAE_GU","GIJANG_GUN","KOR","geo_dma_bespoke"
"48","HAEUNDAE_GU","HAEUNDAE_GU","KOR","geo_dma_bespoke"
"49","HAEUNDAE_GU","SUYEONG_GU","KOR","geo_dma_bespoke"
"50","HAEUNDAE_GU","YEONJE_GU","KOR","geo_dma_bespoke"
"51","NAM_GU_BUSAN","BUSANJIN_GU","KOR","geo_dma_bespoke"
"52","NAM_GU_BUSAN","DONG_GU_BUSAN","KOR","geo_dma_bespoke"
"53","NAM_GU_BUSAN","NAM_GU_BUSAN","KOR","geo_dma_bespoke"
"54","NAM_GU_BUSAN","SUYEONG_GU","KOR","geo_dma_bespoke"
"55","NAM_GU_BUSAN","YEONJE_GU","KOR","geo_dma_bespoke"
"56","SAHA_GU","GANGSEO_GU_BUSAN","KOR","geo_dma_bespoke"
"57","SAHA_GU","SAHA_GU","KOR","geo_dma_bespoke"
"58","SAHA_GU","SASANG_GU","KOR","geo_dma_bespoke"
"59","SAHA_GU","JUNG_GU_BUSAN","KOR","geo_dma_bespoke"
