"","region","neighbors","posa","geo_grain"
"1","ITV_ANGLIA","ITV_ANGLIA","GBR","geo_dma_bespoke"
"2","ITV_ANGLIA","ITV_CENTRAL","GBR","geo_dma_bespoke"
"3","ITV_ANGLIA","ITV_LONDON","GBR","geo_dma_bespoke"
"4","ITV_ANGLIA","ITV_MERIDIAN","GBR","geo_dma_bespoke"
"5","ITV_ANGLIA","ITV_YORKSHIRE","GBR","geo_dma_bespoke"
"6","ITV_BORDER","ITV_BORDER","GBR","geo_dma_bespoke"
"7","ITV_BORDER","ITV_GRANADA","GBR","geo_dma_bespoke"
"8","ITV_BORDER","ITV_TYNE_TEES","GBR","geo_dma_bespoke"
"9","ITV_BORDER","ITV_YORKSHIRE","GBR","geo_dma_bespoke"
"10","ITV_BORDER","STV_SOUTH","GBR","geo_dma_bespoke"
"11","ITV_CENTRAL","ITV_ANGLIA","GBR","geo_dma_bespoke"
"12","ITV_CENTRAL","ITV_CENTRAL","GBR","geo_dma_bespoke"
"13","ITV_CENTRAL","ITV_GRANADA","GBR","geo_dma_bespoke"
"14","ITV_CENTRAL","ITV_MERIDIAN","GBR","geo_dma_bespoke"
"15","ITV_CENTRAL","ITV_WALES","GBR","geo_dma_bespoke"
"16","ITV_CENTRAL","ITV_WEST","GBR","geo_dma_bespoke"
"17","ITV_CENTRAL","ITV_YORKSHIRE","GBR","geo_dma_bespoke"
"18","ITV_GRANADA","ITV_BORDER","GBR","geo_dma_bespoke"
"19","ITV_GRANADA","ITV_CENTRAL","GBR","geo_dma_bespoke"
"20","ITV_GRANADA","ITV_GRANADA","GBR","geo_dma_bespoke"
"21","ITV_GRANADA","ITV_WALES","GBR","geo_dma_bespoke"
"22","ITV_GRANADA","ITV_YORKSHIRE","GBR","geo_dma_bespoke"
"23","ITV_LONDON","ITV_ANGLIA","GBR","geo_dma_bespoke"
"24","ITV_LONDON","ITV_LONDON","GBR","geo_dma_bespoke"
"25","ITV_LONDON","ITV_MERIDIAN","GBR","geo_dma_bespoke"
"26","ITV_MERIDIAN","ITV_ANGLIA","GBR","geo_dma_bespoke"
"27","ITV_MERIDIAN","ITV_CENTRAL","GBR","geo_dma_bespoke"
"28","ITV_MERIDIAN","ITV_LONDON","GBR","geo_dma_bespoke"
"29","ITV_MERIDIAN","ITV_MERIDIAN","GBR","geo_dma_bespoke"
"30","ITV_MERIDIAN","ITV_WEST","GBR","geo_dma_bespoke"
"31","ITV_MERIDIAN","ITV_WESTCOUNTRY","GBR","geo_dma_bespoke"
"32","ITV_TYNE_TEES","ITV_BORDER","GBR","geo_dma_bespoke"
"33","ITV_TYNE_TEES","ITV_TYNE_TEES","GBR","geo_dma_bespoke"
"34","ITV_TYNE_TEES","ITV_YORKSHIRE","GBR","geo_dma_bespoke"
"35","ITV_WALES","ITV_CENTRAL","GBR","geo_dma_bespoke"
"36","ITV_WALES","ITV_GRANADA","GBR","geo_dma_bespoke"
"37","ITV_WALES","ITV_WALES","GBR","geo_dma_bespoke"
"38","ITV_WALES","ITV_WEST","GBR","geo_dma_bespoke"
"39","ITV_WEST","ITV_CENTRAL","GBR","geo_dma_bespoke"
"40","ITV_WEST","ITV_MERIDIAN","GBR","geo_dma_bespoke"
"41","ITV_WEST","ITV_WALES","GBR","geo_dma_bespoke"
"42","ITV_WEST","ITV_WEST","GBR","geo_dma_bespoke"
"43","ITV_WEST","ITV_WESTCOUNTRY","GBR","geo_dma_bespoke"
"44","ITV_WESTCOUNTRY","ITV_MERIDIAN","GBR","geo_dma_bespoke"
"45","ITV_WESTCOUNTRY","ITV_WEST","GBR","geo_dma_bespoke"
"46","ITV_WESTCOUNTRY","ITV_WESTCOUNTRY","GBR","geo_dma_bespoke"
"47","ITV_YORKSHIRE","ITV_ANGLIA","GBR","geo_dma_bespoke"
"48","ITV_YORKSHIRE","ITV_BORDER","GBR","geo_dma_bespoke"
"49","ITV_YORKSHIRE","ITV_CENTRAL","GBR","geo_dma_bespoke"
"50","ITV_YORKSHIRE","ITV_GRANADA","GBR","geo_dma_bespoke"
"51","ITV_YORKSHIRE","ITV_TYNE_TEES","GBR","geo_dma_bespoke"
"52","ITV_YORKSHIRE","ITV_YORKSHIRE","GBR","geo_dma_bespoke"
"53","NA","NA","GBR","geo_dma_bespoke"
"54","STV_NORTH","STV_NORTH","GBR","geo_dma_bespoke"
"55","STV_NORTH","STV_SOUTH","GBR","geo_dma_bespoke"
"56","STV_SOUTH","ITV_BORDER","GBR","geo_dma_bespoke"
"57","STV_SOUTH","STV_NORTH","GBR","geo_dma_bespoke"
"58","STV_SOUTH","STV_SOUTH","GBR","geo_dma_bespoke"
"59","UTV","UTV","GBR","geo_dma_bespoke"
