gmt_trans_date,geo_dma,purchase,cancel
1/1/2020,508,321,51
1/1/2020,509,52,10
1/1/2020,511,2070,366
1/1/2020,512,700,124
1/1/2020,514,201,44
1/1/2020,515,313,60
1/1/2020,517,706,126
1/1/2020,522,69,16
1/1/2020,526,27,4
1/1/2020,534,1660,209
1/1/2020,545,50,6
1/1/2020,546,89,12
1/1/2020,555,135,25
1/1/2020,560,428,70
1/1/2020,563,243,58
1/1/2020,576,56,5
1/1/2020,584,40,2
1/1/2020,603,21,2
1/1/2020,604,158,20
1/1/2020,609,721,122
1/1/2020,612,75,17
1/1/2020,613,977,154
1/1/2020,619,101,15
1/1/2020,625,118,25
1/1/2020,627,37,6
1/1/2020,632,149,20
1/1/2020,638,6,1
1/1/2020,640,231,60
1/1/2020,644,17,3
1/1/2020,650,240,39
1/1/2020,651,52,6
1/1/2020,652,240,38
1/1/2020,658,210,29
1/1/2020,662,32,3
1/1/2020,670,73,6
1/1/2020,673,16,1
1/1/2020,675,61,13
1/1/2020,682,81,17
1/1/2020,686,169,39
1/1/2020,717,16,1
1/1/2020,736,12,3
1/1/2020,756,41,4
1/1/2020,767,27,4
1/1/2020,771,30,6
1/1/2020,773,41,7
1/1/2020,798,2,1
1/1/2020,800,111,15
1/1/2020,801,103,15
1/1/2020,811,177,36
1/2/2020,503,69,16
1/2/2020,511,3165,551
1/2/2020,522,107,17
1/2/2020,527,610,116
1/2/2020,529,312,48
1/2/2020,531,82,18
1/2/2020,534,2378,314
1/2/2020,541,153,18
1/2/2020,547,124,31
1/2/2020,551,172,20
1/2/2020,553,39,4
1/2/2020,555,177,38
1/2/2020,564,79,19
1/2/2020,567,396,71
1/2/2020,575,144,35
1/2/2020,583,12,0
1/2/2020,598,27,4
1/2/2020,600,104,15
1/2/2020,603,55,9
1/2/2020,604,209,38
1/2/2020,610,85,18
1/2/2020,617,485,98
1/2/2020,618,3035,499
1/2/2020,628,61,11
1/2/2020,630,319,73
1/2/2020,634,100,21
1/2/2020,647,33,5
1/2/2020,648,299,34
1/2/2020,650,369,65
1/2/2020,661,48,4
1/2/2020,662,47,6
1/2/2020,673,36,6
1/2/2020,678,205,33
1/2/2020,705,82,10
1/2/2020,716,197,33
1/2/2020,722,132,25
1/2/2020,747,22,2
1/2/2020,752,294,53
1/2/2020,753,2220,379
1/2/2020,755,44,7
1/2/2020,759,70,9
1/2/2020,766,28,7
1/2/2020,801,138,23
1/2/2020,804,148,31
1/2/2020,821,74,15
1/2/2020,855,260,47
1/2/2020,862,2057,356
1/3/2020,507,185,44
1/3/2020,510,869,172
1/3/2020,514,339,58
1/3/2020,516,38,9
1/3/2020,518,266,58
1/3/2020,520,78,15
1/3/2020,527,650,122
1/3/2020,532,331,69
1/3/2020,535,511,105
1/3/2020,537,49,9
1/3/2020,545,82,11
1/3/2020,546,167,40
1/3/2020,548,594,93
1/3/2020,550,88,16
1/3/2020,551,157,32
1/3/2020,553,38,5
1/3/2020,558,27,0
1/3/2020,559,18,4
1/3/2020,573,251,27
1/3/2020,575,199,40
1/3/2020,583,10,3
1/3/2020,584,55,3
1/3/2020,588,139,26
1/3/2020,600,123,30
1/3/2020,605,65,8
1/3/2020,609,945,181
1/3/2020,610,99,24
1/3/2020,617,538,98
1/3/2020,633,154,31
1/3/2020,636,177,22
1/3/2020,639,30,5
1/3/2020,641,857,124
1/3/2020,647,24,2
1/3/2020,648,247,40
1/3/2020,650,373,72
1/3/2020,652,376,54
1/3/2020,656,61,11
1/3/2020,658,275,57
1/3/2020,671,208,38
1/3/2020,691,123,24
1/3/2020,717,29,6
