gmt_trans_date,geo_region,purchase,cancel
1/1/2020,?,2,0
1/1/2020,ak,104,16
1/1/2020,ca,12509,2277
1/1/2020,ct,575,91
1/1/2020,fl,5474,843
1/1/2020,id,271,45
1/1/2020,ky,348,63
1/1/2020,md,1490,272
1/1/2020,mt,188,25
1/1/2020,nc,1496,256
1/1/2020,nd,130,29
1/1/2020,nh,218,27
1/1/2020,nv,1196,203
1/1/2020,ny,3275,643
1/1/2020,ok,399,61
1/1/2020,or,983,162
1/1/2020,sc,800,116
1/1/2020,tn,1132,197
1/1/2020,vt,107,17
1/1/2020,wa,1906,294
1/2/2020,ak,150,20
1/2/2020,fl,8483,1329
1/2/2020,mn,1515,246
1/2/2020,nd,239,45
1/2/2020,nh,293,48
1/2/2020,nv,1752,328
1/2/2020,ny,5326,1003
1/2/2020,ok,632,129
1/2/2020,ri,184,42
1/2/2020,sc,1197,189
1/2/2020,vt,134,19
1/2/2020,wa,2780,521
1/3/2020,az,2745,456
1/3/2020,ca,20657,3622
1/3/2020,ct,789,149
1/3/2020,dc,847,176
1/3/2020,hi,362,85
1/3/2020,ky,664,133
1/3/2020,ma,2060,362
1/3/2020,mo,1909,346
1/3/2020,ne,507,72
1/3/2020,nh,331,55
1/3/2020,nj,3507,580
1/3/2020,or,1467,265
1/3/2020,va,2364,397
1/3/2020,vt,192,49
1/4/2020,ar,276,55
1/4/2020,ca,17205,2874
1/4/2020,dc,485,108
1/4/2020,id,329,48
1/4/2020,ma,1756,302
1/4/2020,md,1925,337
1/4/2020,ne,419,56
1/4/2020,nh,278,44
1/4/2020,nj,3147,479
1/4/2020,nv,1550,272
1/4/2020,pa,2393,389
1/4/2020,ri,232,38
1/4/2020,tn,1417,224
1/4/2020,va,1952,337
1/5/2020,?,1,0
1/5/2020,ar,236,53
1/5/2020,fl,6039,885
1/5/2020,ia,555,71
1/5/2020,id,330,53
1/5/2020,ks,363,40
1/5/2020,ky,472,80
1/5/2020,mi,1718,287
1/5/2020,nj,2840,399
1/5/2020,ok,489,62
1/5/2020,or,989,159
1/5/2020,sc,663,112
1/5/2020,ut,1006,130
1/5/2020,va,1777,287
1/5/2020,vt,205,14
1/6/2020,dc,736,142
1/6/2020,fl,7271,1024
1/6/2020,hi,364,92
1/6/2020,ia,788,110
1/6/2020,ks,495,85
1/6/2020,la,867,164
1/6/2020,ne,497,71
1/6/2020,nj,3155,435
1/6/2020,nv,1630,285
1/6/2020,ok,580,67
1/6/2020,or,1335,225
1/6/2020,sc,886,149
1/6/2020,tn,1473,253
1/6/2020,ut,1392,194
1/6/2020,vt,216,28
1/6/2020,wv,164,23
1/7/2020,ar,361,63
1/7/2020,az,2616,435
1/7/2020,ca,19755,3489
1/7/2020,ct,814,157
1/7/2020,de,222,44
1/7/2020,in,1161,207
1/7/2020,ks,504,82
1/7/2020,ma,2229,418
1/7/2020,ms,426,70
1/7/2020,ok,669,107
1/7/2020,ri,262,46
1/7/2020,wv,165,28
1/8/2020,?,4,4
1/8/2020,ar,328,67
1/8/2020,az,2579,468
1/8/2020,dc,748,180
1/8/2020,fl,7532,1258
1/8/2020,ky,579,90
1/8/2020,me,233,42
1/8/2020,ms,368,109
1/8/2020,nc,2198,402
1/8/2020,or,1378,268
1/9/2020,dc,763,145
1/9/2020,hi,460,114
1/9/2020,id,427,61
1/9/2020,in,1138,209
1/9/2020,md,2266,392
1/9/2020,mo,1366,326
1/9/2020,ny,5618,1068
1/9/2020,ri,272,49
1/9/2020,tx,10979,2007
1/9/2020,wa,2810,546
1/10/2020,?,4,3
1/10/2020,ak,161,24
1/10/2020,al,728,128
1/10/2020,id,411,77
1/10/2020,in,1073,191
1/10/2020,ky,574,92
1/10/2020,me,225,32
1/10/2020,mt,288,44
1/10/2020,nj,3584,554
1/10/2020,oh,2286,398
1/10/2020,tx,10714,1599
1/10/2020,wi,1353,275
1/11/2020,?,4,5
1/11/2020,ak,141,30
1/11/2020,co,2640,346
1/11/2020,dc,434,103
1/11/2020,fl,7122,1008
1/11/2020,ga,4552,517
1/11/2020,in,953,145
1/11/2020,me,218,30
1/11/2020,ms,365,66
1/11/2020,nc,2084,282
1/11/2020,sc,794,112
1/11/2020,ut,1218,167
1/11/2020,wv,122,24
1/11/2020,wy,223,26
1/12/2020,fl,6446,1028
1/12/2020,hi,406,105
1/12/2020,ky,455,76
1/12/2020,ms,273,40
1/12/2020,nc,1869,310
1/12/2020,nh,255,44
1/12/2020,nv,1567,275
1/12/2020,oh,1813,279
1/12/2020,ok,493,78
1/12/2020,sc,754,99
1/12/2020,sd,117,7
1/12/2020,wa,2111,404
1/12/2020,wv,150,20
1/12/2020,wy,163,25
1/13/2020,ak,159,30
1/13/2020,al,744,160
1/13/2020,az,2586,446
1/13/2020,co,2777,525
1/13/2020,ct,834,175
1/13/2020,dc,716,167
1/13/2020,de,230,46
1/13/2020,ga,4725,709
1/13/2020,il,4426,872
1/13/2020,ks,514,103
1/13/2020,ma,2211,422
1/13/2020,mi,2412,464
1/13/2020,mt,305,53
1/13/2020,nv,1769,298
1/13/2020,oh,2244,469
1/13/2020,sc,910,176
1/13/2020,wv,163,49
1/14/2020,ak,145,34
1/14/2020,al,721,154
1/14/2020,az,2514,495
1/14/2020,fl,7694,1431
1/14/2020,hi,412,117
1/14/2020,ia,727,130
1/14/2020,il,4260,875
1/14/2020,ky,573,101
1/14/2020,ma,2169,468
1/14/2020,mo,1466,300
1/14/2020,nc,2317,424
1/14/2020,ny,5764,1159
1/14/2020,or,1355,287
1/14/2020,ri,261,68
1/14/2020,sd,151,38
1/14/2020,tx,9744,1772
1/14/2020,va,2559,528
1/14/2020,vt,209,34
1/14/2020,wv,169,35
1/15/2020,al,802,144
1/15/2020,ct,789,146
1/15/2020,ga,4532,765
1/15/2020,hi,382,112
1/15/2020,ia,701,178
1/15/2020,la,843,156
1/15/2020,md,2071,406
1/15/2020,mo,1533,319
1/15/2020,mt,287,49
1/15/2020,ne,476,85
1/15/2020,nj,3211,601
1/15/2020,or,1365,261
1/15/2020,ri,240,50
1/15/2020,sd,159,33
1/15/2020,va,2547,451
1/16/2020,?,3,0
1/16/2020,ak,158,45
1/16/2020,ia,728,192
1/16/2020,id,433,85
1/16/2020,la,983,217
1/16/2020,ma,2360,460
1/16/2020,md,2190,448
1/16/2020,ms,435,106
1/16/2020,nc,2591,435
1/16/2020,oh,2341,440
1/16/2020,ok,709,106
1/16/2020,tn,1711,339
1/16/2020,wa,2502,526
1/17/2020,ar,437,88
1/17/2020,ct,838,181
1/17/2020,ga,5131,758
1/17/2020,la,993,184
1/17/2020,ms,421,89
1/17/2020,nv,2469,344
1/17/2020,tx,10924,1614
1/17/2020,wv,171,38
1/17/2020,wy,221,42
1/18/2020,ar,332,65
1/18/2020,az,2310,329
1/18/2020,co,2388,382
1/18/2020,dc,717,113
1/18/2020,de,155,24
1/18/2020,in,965,165
1/18/2020,ky,451,76
1/18/2020,mi,1795,324
1/18/2020,mn,1439,228
1/18/2020,mo,1312,197
1/18/2020,nc,2072,325
1/18/2020,nj,2899,446
1/18/2020,nv,1436,323
1/18/2020,pa,2498,397
1/18/2020,ri,225,30
1/18/2020,tn,1378,188
1/18/2020,wa,2226,345
1/18/2020,wv,151,20
1/19/2020,al,534,112
1/19/2020,fl,6392,998
1/19/2020,ky,450,67
1/19/2020,la,653,109
1/19/2020,md,1736,253
1/19/2020,ny,4172,813
1/19/2020,oh,1826,265
1/19/2020,va,1711,266
1/20/2020,?,4,1
1/20/2020,az,2512,398
1/20/2020,ga,4190,661
1/20/2020,hi,356,63
1/20/2020,il,4066,635
1/20/2020,ky,573,93
1/20/2020,la,794,125
1/20/2020,ma,1970,358
1/20/2020,md,1975,360
1/20/2020,me,218,40
1/20/2020,mn,1594,262
1/20/2020,mo,1337,267
1/20/2020,ne,467,87
1/20/2020,nj,3086,540
1/20/2020,nm,515,97
1/20/2020,oh,2199,366
1/20/2020,or,1428,204
1/20/2020,pa,2801,442
1/20/2020,sd,146,21
1/20/2020,ut,1373,203
1/20/2020,wi,1256,210
1/21/2020,ak,183,27
1/21/2020,ar,381,87
1/21/2020,fl,7649,1612
1/21/2020,il,4372,1013
1/21/2020,ky,527,108
1/21/2020,md,2036,504
1/21/2020,mi,2118,488
1/21/2020,tx,10196,1869
1/21/2020,va,2177,469
1/21/2020,wa,2718,559
1/21/2020,wi,1350,229
1/21/2020,wv,139,30
1/22/2020,al,707,132
1/22/2020,az,2447,405
1/22/2020,de,192,56
1/22/2020,hi,421,120
1/22/2020,mn,1651,293
1/22/2020,mo,1316,246
1/22/2020,ne,442,57
1/22/2020,nh,332,59
